年度,月,行政區域代碼,區隊,回收量（噸）
112,1,63000120,北投區隊,381.55
112,1,63000010,松山區隊,473.95
112,1,63000040,中山區隊,698.72
112,1,63000090,南港區隊,261.69
112,1,63000110,士林區隊,564.43
112,1,63000100,內湖區隊,654.83
112,1,63000020,信義區隊,494.66
112,1,63000050,中正區隊,300.8
112,1,63000070,萬華區隊,314.01
112,1,63000030,大安區隊,781.88
112,1,63000080,文山區隊,665.94
112,1,63000060,大同區隊,159.19
112,1,,其他,82.9
112,2,63000120,北投區隊,263.37
112,2,63000010,松山區隊,298.5
112,2,63000040,中山區隊,472.2
112,2,63000090,南港區隊,161.05
112,2,63000110,士林區隊,360.28
112,2,63000100,內湖區隊,402.71
112,2,63000020,信義區隊,320.07
112,2,63000050,中正區隊,202.68
112,2,63000070,萬華區隊,208.78
112,2,63000030,大安區隊,512.88
112,2,63000080,文山區隊,407.61
112,2,63000060,大同區隊,110.35
112,2,,其他,86.61
112,3,63000120,北投區隊,269.83
112,3,63000010,松山區隊,333.8
112,3,63000040,中山區隊,498.96
112,3,63000090,南港區隊,165.54
112,3,63000110,士林區隊,398.19
112,3,63000100,內湖區隊,423.92
112,3,63000020,信義區隊,342.48
112,3,63000050,中正區隊,214.43
112,3,63000070,萬華區隊,229.38
112,3,63000030,大安區隊,542.59
112,3,63000080,文山區隊,433.88
112,3,63000060,大同區隊,125.08
112,3,,其他,96.03
112,4,63000120,北投區隊,255.57
112,4,63000010,松山區隊,308.44
112,4,63000040,中山區隊,468.22
112,4,63000090,南港區隊,163.52
112,4,63000110,士林區隊,371.56
112,4,63000100,內湖區隊,404.18
112,4,63000020,信義區隊,323.4
112,4,63000050,中正區隊,203.81
112,4,63000070,萬華區隊,224.29
112,4,63000030,大安區隊,518.27
112,4,63000080,文山區隊,413.23
112,4,63000060,大同區隊,113.96
112,4,,其他,76.85
112,5,63000120,北投區隊,298.28
112,5,63000010,松山區隊,355.06
112,5,63000040,中山區隊,524.95
112,5,63000090,南港區隊,174.38
112,5,63000110,士林區隊,424.35
112,5,63000100,內湖區隊,495.92
112,5,63000020,信義區隊,361.69
112,5,63000050,中正區隊,257.03
112,5,63000070,萬華區隊,284.2
112,5,63000030,大安區隊,617.66
112,5,63000080,文山區隊,475.07
112,5,63000060,大同區隊,124.92
112,5,,其他,106.9
112,6,63000120,北投區隊,308.63
112,6,63000010,松山區隊,364.04
112,6,63000040,中山區隊,525.02
112,6,63000090,南港區隊,181.09
112,6,63000110,士林區隊,429.08
112,6,63000100,內湖區隊,482.62
112,6,63000020,信義區隊,364.52
112,6,63000050,中正區隊,252.59
112,6,63000070,萬華區隊,277.62
112,6,63000030,大安區隊,616.37
112,6,63000080,文山區隊,479.17
112,6,63000060,大同區隊,133.3
112,6,,其他,90.32
112,7,63000120,北投區隊,318.38
112,7,63000010,松山區隊,385.34
112,7,63000040,中山區隊,543.2
112,7,63000090,南港區隊,180.92
112,7,63000110,士林區隊,451.34
112,7,63000100,內湖區隊,516.29
112,7,63000020,信義區隊,380.38
112,7,63000050,中正區隊,268.21
112,7,63000070,萬華區隊,276.39
112,7,63000030,大安區隊,640.96
112,7,63000080,文山區隊,513.7
112,7,63000060,大同區隊,131.45
112,7,,其他,84.07
112,8,63000120,北投區隊,309.29
112,8,63000010,松山區隊,386.68
112,8,63000040,中山區隊,548.57
112,8,63000090,南港區隊,188.6
112,8,63000110,士林區隊,440.12
112,8,63000100,內湖區隊,499.44
112,8,63000020,信義區隊,377.88
112,8,63000050,中正區隊,260.5
112,8,63000070,萬華區隊,287.31
112,8,63000030,大安區隊,628.22
112,8,63000080,文山區隊,512.65
112,8,63000060,大同區隊,137.23
112,8,,其他,103.63
112,9,63000120,北投區隊,292.03
112,9,63000010,松山區隊,372.2
112,9,63000040,中山區隊,526.49
112,9,63000090,南港區隊,171.52
112,9,63000110,士林區隊,430.03
112,9,63000100,內湖區隊,475.45
112,9,63000020,信義區隊,356.9
112,9,63000050,中正區隊,259.19
112,9,63000070,萬華區隊,276.85
112,9,63000030,大安區隊,610.31
112,9,63000080,文山區隊,482.44
112,9,63000060,大同區隊,138.19
112,9,,其他,89.17
112,10,63000120,北投區隊,307
112,10,63000010,松山區隊,368.27
112,10,63000040,中山區隊,530.24
112,10,63000090,南港區隊,181.71
112,10,63000110,士林區隊,426.21
112,10,63000100,內湖區隊,497.49
112,10,63000020,信義區隊,366.5
112,10,63000050,中正區隊,264.64
112,10,63000070,萬華區隊,289.29
112,10,63000030,大安區隊,619.12
112,10,63000080,文山區隊,504.54
112,10,63000060,大同區隊,140.45
112,10,,其他,77.91
112,11,63000120,北投區隊,257.07
112,11,63000010,松山區隊,326.54
112,11,63000040,中山區隊,486.55
112,11,63000090,南港區隊,163.34
112,11,63000110,士林區隊,401.62
112,11,63000100,內湖區隊,413.5
112,11,63000020,信義區隊,334.75
112,11,63000050,中正區隊,218.63
112,11,63000070,萬華區隊,241.81
112,11,63000030,大安區隊,545.87
112,11,63000080,文山區隊,438.54
112,11,63000060,大同區隊,123.2
112,11,,其他,103.74
112,12,63000120,北投區隊,282.68
112,12,63000010,松山區隊,336.16
112,12,63000040,中山區隊,513.98
112,12,63000090,南港區隊,171.92
112,12,63000110,士林區隊,417.41
112,12,63000100,內湖區隊,434.51
112,12,63000020,信義區隊,356.84
112,12,63000050,中正區隊,233.61
112,12,63000070,萬華區隊,245
112,12,63000030,大安區隊,586.73
112,12,63000080,文山區隊,451.21
112,12,63000060,大同區隊,121.45
112,12,,其他,81.5
113,1,63000120,北投區隊,350.75
113,1,63000010,松山區隊,397.33
113,1,63000040,中山區隊,590.93
113,1,63000090,南港區隊,203.86
113,1,63000110,士林區隊,480.42
113,1,63000100,內湖區隊,526.86
113,1,63000020,信義區隊,414.22
113,1,63000050,中正區隊,277.69
113,1,63000070,萬華區隊,298.1
113,1,63000030,大安區隊,688.28
113,1,63000080,文山區隊,549.33
113,1,63000060,大同區隊,140.67
113,1,,其他,101.91
113,2,63000120,北投區隊,336.86
113,2,63000010,松山區隊,409.15
113,2,63000040,中山區隊,633.38
113,2,63000090,南港區隊,221.21
113,2,63000110,士林區隊,533.03
113,2,63000100,內湖區隊,582.9
113,2,63000020,信義區隊,442.94
113,2,63000050,中正區隊,282.74
113,2,63000070,萬華區隊,320.5
113,2,63000030,大安區隊,710.41
113,2,63000080,文山區隊,579.19
113,2,63000060,大同區隊,144.39
113,2,,其他,78.63
113,3,63000120,北投區隊,275.93
113,3,63000010,松山區隊,341.97
113,3,63000040,中山區隊,515.35
113,3,63000090,南港區隊,164.78
113,3,63000110,士林區隊,401.23
113,3,63000100,內湖區隊,423.77
113,3,63000020,信義區隊,343.67
113,3,63000050,中正區隊,228.45
113,3,63000070,萬華區隊,249.34
113,3,63000030,大安區隊,560.07
113,3,63000080,文山區隊,459.04
113,3,63000060,大同區隊,120.45
113,3,,其他,83.89
113,4,63000120,北投區隊,295.5
113,4,63000010,松山區隊,357.21
113,4,63000040,中山區隊,535.9
113,4,63000090,南港區隊,184.39
113,4,63000110,士林區隊,419.39
113,4,63000100,內湖區隊,460.63
113,4,63000020,信義區隊,366.58
113,4,63000050,中正區隊,257.65
113,4,63000070,萬華區隊,264.72
113,4,63000030,大安區隊,616.34
113,4,63000080,文山區隊,495.3
113,4,63000060,大同區隊,124.97
113,4,,其他,85.15
113,5,63000120,北投區隊,294.76
113,5,63000010,松山區隊,356.45
113,5,63000040,中山區隊,531.46
113,5,63000090,南港區隊,173.41
113,5,63000110,士林區隊,423.42
113,5,63000100,內湖區隊,459.18
113,5,63000020,信義區隊,357.43
113,5,63000050,中正區隊,254.21
113,5,63000070,萬華區隊,255.58
113,5,63000030,大安區隊,608.15
113,5,63000080,文山區隊,476.91
113,5,63000060,大同區隊,121.79
113,5,,其他,83.23
113,6,63000120,北投區隊,312.69
113,6,63000010,松山區隊,354.16
113,6,63000040,中山區隊,535.81
113,6,63000090,南港區隊,175.93
113,6,63000110,士林區隊,445.68
113,6,63000100,內湖區隊,468.7
113,6,63000020,信義區隊,359.71
113,6,63000050,中正區隊,255.56
113,6,63000070,萬華區隊,277.76
113,6,63000030,大安區隊,614.66
113,6,63000080,文山區隊,509.42
113,6,63000060,大同區隊,119.49
113,6,,其他,79.08
113,7,63000120,北投區隊,317.69
113,7,63000010,松山區隊,382.94
113,7,63000040,中山區隊,578.46
113,7,63000090,南港區隊,191.87
113,7,63000110,士林區隊,458.82
113,7,63000100,內湖區隊,513.46
113,7,63000020,信義區隊,401.27
113,7,63000050,中正區隊,271.83
113,7,63000070,萬華區隊,289.65
113,7,63000030,大安區隊,659.88
113,7,63000080,文山區隊,559.71
113,7,63000060,大同區隊,123.43
113,7,,其他,81.01
113,8,63000120,北投區隊,318.61
113,8,63000010,松山區隊,388.19
113,8,63000040,中山區隊,577.97
113,8,63000090,南港區隊,186.35
113,8,63000110,士林區隊,462.01
113,8,63000100,內湖區隊,488.53
113,8,63000020,信義區隊,405.36
113,8,63000050,中正區隊,280.3
113,8,63000070,萬華區隊,282.34
113,8,63000030,大安區隊,659.21
113,8,63000080,文山區隊,538.01
113,8,63000060,大同區隊,144.04
113,8,,其他,85.83
113,9,63000120,北投區隊,297.52
113,9,63000010,松山區隊,360.4
113,9,63000040,中山區隊,533.05
113,9,63000090,南港區隊,175.74
113,9,63000110,士林區隊,439.59
113,9,63000100,內湖區隊,460.89
113,9,63000020,信義區隊,382.08
113,9,63000050,中正區隊,263.58
113,9,63000070,萬華區隊,264.33
113,9,63000030,大安區隊,605.01
113,9,63000080,文山區隊,502.84
113,9,63000060,大同區隊,133.8
113,9,,其他,61.77
113,10,63000120,北投區隊,277.37
113,10,63000010,松山區隊,335.51
113,10,63000040,中山區隊,516.82
113,10,63000090,南港區隊,174.96
113,10,63000110,士林區隊,416.96
113,10,63000100,內湖區隊,441.68
113,10,63000020,信義區隊,361.63
113,10,63000050,中正區隊,234.64
113,10,63000070,萬華區隊,260.14
113,10,63000030,大安區隊,577.63
113,10,63000080,文山區隊,484.35
113,10,63000060,大同區隊,131.23
113,10,,其他,53.88
