"lineid","car","time","location","longitude","latitude","cityid","cityname"
"234005","KEU-5236","2026/04/26 14:28:42","新北市永和區福和路1號","121.526403333333","25.00959","6500400","永和區"
"234038","AAC-293","2026/04/26 15:03:45","新北市新店區永安街92巷29號","121.5208","24.9840416666667","6500400","永和區"
"241011","316-R6","2026/04/26 14:23:06","新北市三重區重新路四段121號","121.48494","25.0521516666667","6500200","三重區"
