"seqno","type","city","countycode","name","localcallservice","address"
"1","環保餐廳","新北市","65000","31早午餐","02-82861790","新北市蘆洲區和平路171號"
"2","環保餐廳","新北市","65000","57黃燜雞(板橋大遠百)","0988754052","新北市板橋區新站路28號B1"
"3","環保餐廳","新北市","65000","Alessi Cafe ","02-29566768","新北市板橋區新站路28號"
"4","環保餐廳","新北市","65000","Apple203早午餐店-中和遠東","02-82261077","新北市中和區中正路738號"
"5","環保餐廳","新北市","65000","B & G德國農莊複合式茶館","02-77054168","新北市板橋區新站路28號"
"6","環保餐廳","新北市","65000","BarAku","02-29698058","新北市板橋區縣民大道一段269號2樓"
"7","環保餐廳","新北市","65000","bb.q三重三和店","02-22861069","新北市三重區三和路四段３９８之１號一樓"
"8","環保餐廳","新北市","65000","bb.q中和中漢店","02-82282057","新北市中和區中山路三段186號"
"9","環保餐廳","新北市","65000","bb.q板橋板農店","02-22710016","新北市板橋區府中路29之1號"
"10","環保餐廳","新北市","65000","Bellini Pasta Pasta 中和環球","0988629682","新北市中和區中山路三段122號4樓"
"11","環保餐廳","新北市","65000","BinB書? Bar in Book","02-82510325","新北市板橋區民生路三段140號"
"12","環保餐廳","新北市","65000","cama 中和環球","02-22230612","新北市中和區中山路三段122號3樓"
"13","環保餐廳","新北市","65000","Cold Stone 中和環球","02-22211807","新北市中和區中山路三段122號B2樓"
"14","環保餐廳","新北市","65000","Dear 40 Cafe","02-29177171","新北市新店區寶興路40號"
"15","環保餐廳","新北市","65000","DRIP CAFE好滴咖啡-環球板橋車站店","02-29609288","新北市板橋區縣民大道二段七號2F"
"16","環保餐廳","新北市","65000","House.好食早餐店","02-29703375","新北市三重區福德里成功路106之1號"
"17","環保餐廳","新北市","65000","Kali Chimaek 韓式炸雞","02-29647777","新北市板橋區中山路一段158巷21號"
"18","環保餐廳","新北市","65000","Mami Cooking 中和環球店","0986750260","新北市中和區中山路三段122號B2樓"
"19","環保餐廳","新北市","65000","MOMO PARADISE 中和環球","02-82286002","新北市中和區中山路三段122號4樓"
"20","環保餐廳","新北市","65000","Mrs. Mapo麻婆豆腐 新店家樂福店","02-29115569","新北市新店區中興路三段1號1F"
"21","環保餐廳","新北市","65000","Party創作美食茶房","02-89211103","新北市永和區竹林路222號2樓"
"22","環保餐廳","新北市","65000","petit doux 微兜  小碧潭店","02-29115998","新北市新店區新北市新店區中央路157號5樓"
"23","環保餐廳","新北市","65000","Psyaq  Cikay Ma食坊","0916127010","新北市烏來區福山里卡拉模基26號"
"24","環保餐廳","新北市","65000","Q Burger（總店）","02-89913667","新北市新莊區頭前路24號"
"25","環保餐廳","新北市","65000","Q Burger八里中山店","02-26194767","新北市八里區中山路二段363號"
"26","環保餐廳","新北市","65000","Q Burger三重力行店","02-29879488","新北市三重區力行路一段160號一樓及地下一樓"
"27","環保餐廳","新北市","65000","Q Burger三重三民店","02-29869285","新北市三重區三民街298號"
"28","環保餐廳","新北市","65000","Q Burger三重大智店","02-29883200","新北市三重區大智街55號"
"29","環保餐廳","新北市","65000","Q Burger三重中正店","02-29856668","新北市三重區中正北路180號"
"30","環保餐廳","新北市","65000","Q Burger三重中正南店","02-29746343","新北市三重區中正南路49號"
